filing_name,filing_date,district_court,exchange,ticker
"ILG, Inc.",07/06/2018,D. Delaware,NASDAQ,ILG
KLX Inc.,07/06/2018,D. Delaware,NASDAQ,KLXI
Triangle Capital Corporation,07/06/2018,E.D. North Carolina,New York SE,TCAP
Vectren Corporation,07/05/2018,S.D. Indiana,New York SE,VVC
DCT Industrial Trust Inc.,07/02/2018,D. Colorado,New York SE,DCT
"Abaxis, Inc.",06/27/2018,N.D. California,NASDAQ,ABAX
Gogo Inc.,06/27/2018,N.D. Illinois,NASDAQ,GOGO
Sibanye Gold Limited : American Depositary Shares,06/27/2018,E.D. New York,New York SE,SBGL
SteadyMed Ltd.,06/27/2018,N.D. California,NASDAQ,STDY
Stewart Information Services Corporation,06/27/2018,D. Delaware,New York SE,STC
Polarityte,06/26/2018,D. Utah,NASDAQ,COOL
"Quality Care Properties, Inc.",06/25/2018,D. Maryland,New York SE,QCP
Express Scripts Holding Company,06/22/2018,E.D. Missouri,NASDAQ,ESRX
Newell Brands Inc.,06/21/2018,D. New Jersey,New York SE,NWL
"Restoration Robotics, Inc.",06/21/2018,N.D. California,NASDAQ,HAIR
Andeavor,06/20/2018,W.D. Texas,New York SE,ANDV
Mitel Networks Corporation,06/20/2018,S.D. New York,NASDAQ,MITL
Cloud With Me Ltd. : Initial Coin Offering,06/19/2018,W.D. Pennsylvania,W.D. Pennsylvania,W.D. Pennsylvania
"Flex Pharma, Inc.",06/19/2018,S.D. New York,NASDAQ,FLKS
TAL Education Group,06/18/2018,S.D. New York,New York SE,TAL
"Akers Biosciences, Inc.",06/13/2018,D. New Jersey,NASDAQ,AKER
"Financial Engines, Inc.",06/13/2018,N.D. California,NASDAQ,FNGN
Gramercy Property Trust,06/13/2018,S.D. New York,New York SE,GPT
Unum Group,06/13/2018,E.D. Tennessee,New York SE,UNM
PG&E; Corporation,06/12/2018,N.D. California,New York SE,PCG
Ormat Technologies Inc.,06/11/2018,D. Nevada,New York SE,ORA
"Switch, Inc.",06/11/2018,D. New Jersey,New York SE,SWCH
Qualcomm Incorporated,06/08/2018,S.D. California,NASDAQ,QCOM
"REV Group, Inc.",06/08/2018,C.D. California,New York SE,REVG
Deutsche Bank Aktiengesellschaft,06/07/2018,S.D. New York,New York SE,DB
"Latium Network, Inc. : Initial Coin Offering",06/06/2018,D. New Jersey,D. New Jersey,D. New Jersey
"Valeant Pharmaceuticals International, Inc. : Call Options and Put Options",06/06/2018,D. New Jersey,New York SE,VRX
Aegean Marine Petroleum Network Inc.,06/05/2018,S.D. New York,New York SE,ANW
China Auto Logistics Inc.,06/05/2018,D. New Jersey,NASDAQ,CALI
Mabvax Therapeutics Holdings,06/04/2018,S.D. California,NASDAQ,MBVX
Orbotech Ltd.,06/04/2018,D. Delaware,NASDAQ,ORBK
RPX Corporation,06/04/2018,D. Delaware,NASDAQ,RPXC
"CYS Investments, Inc.",06/01/2018,D. Massachusetts,New York SE,CYS
Ripple Labs Inc. : Initial Coin Offering,06/01/2018,N.D. California,N.D. California,N.D. California
Community Bank,05/31/2018,C.D. California,OTC-BB,CYHT
Klondex Mines Ltd.,05/31/2018,D. Nevada,New York SE,KLDX
"Recro Pharma, Inc.",05/31/2018,E.D. Pennsylvania,NASDAQ,REPH
Fluor Corporation,05/25/2018,N.D. Texas,New York SE,FLR
"Mining Max, LLC",05/25/2018,C.D. California,C.D. California,C.D. California
MTGE Investment Corp.,05/25/2018,D. Maryland,NASDAQ,MTGE
"ARMO BioSciences, Inc.",05/24/2018,N.D. California,NASDAQ,ARMO
"Oclaro, Inc.",05/24/2018,N.D. California,NASDAQ,OCLR
Micro Focus International plc,05/23/2018,N.D. California,New York SE,MFGP
"Coastway Bancorp, Inc.",05/22/2018,D. Maryland,NASDAQ,CWAY
ADT Inc.,05/21/2018,S.D. Florida,New York SE,ADT
"PPG Industries, Inc.",05/20/2018,C.D. California,New York SE,PPG
Symantec Corporation,05/17/2018,N.D. California,NASDAQ,SYMC
"VeriFone Systems, Inc.",05/17/2018,D. Delaware,New York SE,PAY
Mattersight Corporation,05/16/2018,D. Delaware,NASDAQ,MATR
Prothena Corporation plc,05/15/2018,N.D. California,NASDAQ,PRTA
Analogic Corporation,05/14/2018,D. Massachusetts,NASDAQ,ALOG
"Kulick and Soffa Industries, Inc.",05/11/2018,C.D. California,NASDAQ,KLIC
"InnerWorkings, Inc.",05/10/2018,C.D. California,NASDAQ,INWK
"AmTrust Financial Services, Inc.",05/09/2018,S.D. New York,NASDAQ,AFSI
Flex Ltd.,05/08/2018,N.D. California,NASDAQ,FLEX
Nationstar Mortgage Holdings Inc.,05/08/2018,N.D. Texas,New York SE,NSM
"Esperion Therapeutics, Inc.",05/07/2018,E.D. Michigan,NASDAQ,ESPR
Infinity Property and Casualty Corp.,05/07/2018,S.D. Ohio,NASDAQ,IPCC
"GGP, Inc.",05/03/2018,D. Delaware,New York SE,GGP
LendingClub Corporation,05/02/2018,N.D. California,New York SE,LC
"The Finish Line, Inc.",05/02/2018,S.D. Indiana,NASDAQ,FINL
"CommerceHub, Inc.",04/27/2018,N.D. New York,NASDAQ,CHUBK
"Molina Healthcare, Inc.",04/27/2018,C.D. California,New York SE,MOH
"QuinStreet, Inc.",04/27/2018,N.D. California,NASDAQ,QNST
"A. Schulman, Inc.",04/26/2018,D. Delaware,NASDAQ,SHLM
"Columbia Pipeline Group, Inc.",04/25/2018,S.D. New York,New York SE,CPGX
Gridsum Holding Inc.,04/25/2018,S.D. New York,NASDAQ,GSUM
RSP Permian Inc,04/25/2018,N.D. Texas,New York SE,RSPP
Aceto Corporation,04/24/2018,E.D. New York,NASDAQ,ACET
Allegiant Travel Company,04/24/2018,C.D. California,NASDAQ,ALGT
Fairmount Santrol Holdings Inc.,04/24/2018,N.D. Ohio,New York SE,FMSA
Willbros Group Inc.,04/24/2018,S.D. Texas,OTC-BB,WG
"Bravo Brio Restaurant Group, Inc.",04/23/2018,S.D. Ohio,NASDAQ,BBRG
"Edge Therapeutics, Inc.",04/23/2018,D. New Jersey,NASDAQ,EDGE
Macquarie Infrastructure Corporation,04/23/2018,S.D. New York,New York SE,MIC
Microsemi Corporation,04/20/2018,C.D. California,NASDAQ,MSCC
Myriad Genetics,04/20/2018,D. Utah,NASDAQ,MYGN
"Live Nation Entertainment, Inc.",04/18/2018,C.D. California,New York SE,LYV
"NuStar GP Holdings, LLC",04/17/2018,D. Delaware,New York SE,NSH
PHH Corporation,04/17/2018,D. New Jersey,New York SE,PHH
"Tallgrass Energy Partners, LP",04/12/2018,D. Delaware,New York SE,TEP
"Colony NorthStar, Inc.",04/06/2018,C.D. California,New York SE,CLNS
"Cancer Genetics, Inc.",04/05/2018,D. New Jersey,NASDAQ,CGIX
"MuleSoft, Inc.",04/05/2018,N.D. California,New York SE,MULE
Telefonaktiebolaget LM Ericsson : American Depository Shares,04/05/2018,S.D. New York,NASDAQ,ERIC
Hardinge Inc.,04/04/2018,W.D. New York,NASDAQ,HDNG
"IZEA, Inc.",04/04/2018,C.D. California,NASDAQ,IZEA
"Synacor, Inc.",04/04/2018,S.D. New York,NASDAQ,SYNC
Layne Christensen Company,04/03/2018,S.D. Texas,NASDAQ,LAYN
LongFin Corp.,04/03/2018,S.D. New York,NASDAQ,LFIN
8Point3 Energy Partners LP,03/31/2018,N.D. California,NASDAQ,CAFD
"Edward D. Jones & Co., L.P. : Various Mutual Funds",03/30/2018,E.D. California,E.D. California,E.D. California
"Truecar, Inc.",03/30/2018,C.D. California,NASDAQ,TRUE
"Blue Buffalo Pet Products, Inc.",03/29/2018,D. Connecticut,NASDAQ,BUFF
Celgene Corporation,03/29/2018,D. New Jersey,NASDAQ,CELG
DRIP : Initial Coin Offering,03/29/2018,N.D. Illinois,N.D. Illinois,N.D. Illinois
Overstock.com,03/29/2018,D. Utah,NASDAQ,OSTK
"Patterson Companies, Inc.",03/28/2018,D. Minnesota,NASDAQ,PDCO
"Jacksonville Bancorp, Inc.",03/27/2018,D. Maryland,NASDAQ,JXSB
"Solid Biosciences, Inc.",03/27/2018,D. Massachusetts,NASDAQ,SLDB
"A10 Networks, Inc.",03/22/2018,N.D. California,New York SE,ATEN
"Dr Pepper Snapple Group, Inc.",03/22/2018,D. Delaware,New York SE,DPS
"ZAIS Group Holdings, Inc.",03/22/2018,D. New Jersey,NASDAQ,ZAIS
"Facebook, Inc.",03/20/2018,N.D. California,NASDAQ,FB
